MultiplosLongitud,PesoRefLongitudinal,PesoEstribos,NúmeroFiguras,NúmeroBarras,Calibres
0.1,89.18,21.13,255,0,"Ø1/2"" A Ø1"" @0.10"
0.1,92.15,20.78,210,0,"Ø5/8"" A Ø7/8"" @0.10"
0.1,94.40,20.75,192,0,"Ø3/4"" @0.10"
0.1,93.65,20.77,187,0,"Ø3/4 Y 7/8"" @0.10"
0.5,91.99,21.13,124,0,"Ø1/2"" A Ø1"" @0.50"
0.5,94.84,20.79,112,0,"Ø5/8"" A Ø7/8"" @0.50"
0.5,97.13,20.76,93,0,"Ø3/4"" @0.50"
0.5,96.26,20.78,88,0,"Ø3/4 Y 7/8"" @0.50"
1,95.42,21.14,85,0,"Ø1/2"" A Ø1"" @1.00"
1,97.87,20.80,73,0,"Ø5/8"" A Ø7/8"" @1.00"
1,100.21,20.77,65,0,"Ø3/4"" @1.00"
1,99.00,20.79,56,0,"Ø3/4 Y 7/8"" @1.00"
,,,,,
