Longitud,PesoRefLongitudinal,PesoEstribos,NúmeroFiguras,NúmeroBarras,Calibres
"0.1,115.3,28.8,193,8953,""Φ1/2"""" a Φ1"""""""
"0.1,115.9,28.0,178,8665,""Φ5/8"""" a Φ7/8"""""""
"0.1,116.5,27.6,133,8691,""Φ3/4"""""""
"0.1,116.9,27.6,149,8610,""Φ3/4"""" y Φ7/8"""""""
"0.5,118.4,28.8,87,9233,""Φ1/2"""" a Φ1"""""""
"0.5,119.1,28.0,75,8938,""Φ5/8"""" a Φ7/8"""""""
"0.5,119.8,27.6,50,8945,""Φ3/4"""""""
"0.5,120.1,27.6,60,8860,""Φ3/4"""" y Φ7/8"""""""
"1.0,123.3,28.9,67,9167,""Φ1/2"""" a Φ1"""""""
"1.0,124.0,28.0,50,8820,""Φ5/8"""" a Φ7/8"""""""
"1.0,124.7,27.6,33,8807,""Φ3/4"""""""
"1.0,125.1,27.6,39,8720,""Φ3/4"""" y Φ7/8"""""""
